county_fips,HPSA Score,State,County,Rural-urban score,Population,Birth rate,Death rate,% poverty (ages 0-17),Unemployment rate,Median Income,"% adults, < HS diploma","% adults, HS diploma only","% adults, some college","% adults, college degree or higher",Population change,pop / PC,"pop / PC, MD only","pop / PC, NP only"
51067,6.0,VA,Franklin County,2.0,56159.0,9.4,10.4,18.0,4.3,77.0,14.6,33.4,31.3,20.7,-0.0012820741110062502,2339.9583333333335,4679.916666666667,4679.916666666667
51113,9.0,VA,Madison County,8.0,13108.0,11.6,9.5,18.0,3.2,83.3,14.2,35.9,24.3,25.6,0.0056454073848031736,1872.5714285714287,2621.6,6554.0
51079,9.0,VA,Greene County,3.0,19331.0,10.6,7.9,13.0,3.3,97.1,16.5,32.4,26.6,24.4,0.007293983756660287,3866.2,4832.75,19331.0
51097,9.0,VA,King and Queen County,8.0,7067.0,8.5,7.6,19.0,4.2,76.5,14.5,41.1,25.1,19.2,-0.0021225413895570966,7067.0,7067.0,7067.0
51063,8.0,VA,Floyd County,3.0,15658.0,7.7,9.3,17.0,4.1,62.6,16.5,35.4,30.4,17.7,0.00708902797292119,1739.7777777777778,2236.8571428571427,7829.0
51101,10.0,VA,King William County,1.0,16412.0,11.5,8.8,12.0,3.8,99.9,11.7,38.1,31.6,18.6,0.00798196441628077,2735.3333333333335,3282.4,16412.0
51127,10.0,VA,New Kent County,1.0,21030.0,10.2,7.4,8.0,3.4,124.0,8.2,33.0,32.8,26.0,0.030813124108416547,21030.0,21030.0,21030.0
51119,14.0,VA,Middlesex County,8.0,10768.0,8.8,13.1,25.0,3.9,73.2,11.4,32.4,32.8,23.4,0.008358098068350668,1538.2857142857142,2153.6,5384.0
51115,14.0,VA,Mathews County,1.0,8806.0,8.2,15.5,18.0,4.0,87.2,8.5,33.7,31.2,26.6,-0.004883034294799001,2935.3333333333335,8806.0,4403.0
51036,14.0,VA,Charles City County,1.0,7023.0,7.1,11.2,20.0,4.6,83.5,22.7,40.6,23.9,12.7,-0.0021358393848782574,3511.5,7023.0,7023.0
51193,10.0,VA,Westmoreland County,6.0,17659.0,11.1,12.0,28.0,4.6,71.9,15.0,35.0,28.8,21.2,0.00600260490401495,4414.75,5886.333333333333,17659.0
51099,10.0,VA,King George County,6.0,25918.0,12.6,6.1,9.0,4.3,118.4,7.2,27.0,31.4,34.5,0.02017902615942588,2356.181818181818,8639.333333333334,3239.75
51037,14.0,VA,Charlotte County,8.0,12130.0,11.5,12.1,29.0,5.1,56.6,20.0,41.1,25.8,13.0,-0.003792250618301731,1516.25,4043.3333333333335,2426.0
51171,9.0,VA,Shenandoah County,6.0,42928.0,10.7,11.4,15.0,3.8,79.0,14.3,39.7,26.6,19.4,0.0014908684308609765,1226.5142857142857,2259.3684210526317,2683.0
51139,9.0,VA,Page County,6.0,23591.0,9.4,12.4,24.0,5.6,67.3,20.8,44.1,22.2,12.9,-0.002458564706879742,1685.0714285714287,2948.875,3931.8333333333335
51141,17.0,VA,Patrick County,8.0,17769.0,7.2,15.0,28.0,4.9,56.6,20.3,35.3,30.8,13.6,-0.009961168326861388,2221.125,5923.0,3553.8
51021,11.0,VA,Bland County,8.0,6475.0,8.3,13.5,17.0,5.3,65.8,10.8,37.7,35.3,16.2,-0.009266409266409266,647.5,3237.5,809.375
51157,12.0,VA,Rappahannock County,1.0,7333.0,6.7,9.5,17.0,3.6,95.8,12.8,26.5,28.3,32.4,-0.006954861584617483,7333.0,2444.3333333333335,7333.0
51009,9.0,VA,Amherst County,2.0,31667.0,11.3,10.7,21.0,4.4,68.3,17.3,34.9,29.0,18.9,0.0009157798338964853,2638.9166666666665,4523.857142857143,6333.4
51053,11.0,VA,Dinwiddie County,1.0,28025.0,7.1,9.6,18.0,4.9,80.4,18.9,36.5,27.7,16.9,0.006280107047279215,28025.0,14012.5,28025.0
51007,9.0,VA,Amelia County,1.0,12830.0,10.9,9.8,16.0,4.3,82.5,18.7,36.8,30.4,14.1,0.0035853468433359316,12830.0,12830.0,12830.0
51011,12.0,VA,Appomattox County,2.0,15505.0,10.9,10.7,20.0,4.7,75.5,16.4,35.4,28.6,19.6,0.002386326991293131,3101.0,5168.333333333333,7752.5
49033,13.0,UT,Rich County,8.0,2306.0,13.5,4.8,12.0,3.2,91.0,3.9,36.5,39.2,20.4,0.003469210754553339,2306.0,2306.0,2306.0
49009,6.0,UT,Daggett County,9.0,1081.0,9.1,9.1,11.0,5.2,83.1,4.9,40.0,40.6,14.5,-0.02312673450508788,1081.0,1081.0,1081.0
49015,14.0,UT,Emery County,7.0,10222.0,13.3,7.4,16.0,6.3,82.8,8.0,32.7,45.8,13.5,-0.013108980630013697,10222.0,10222.0,10222.0
49045,9.0,UT,Tooele County,1.0,64599.0,15.2,5.3,9.0,3.8,98.1,8.4,32.0,38.8,20.8,0.03031006671929906,2227.551724137931,4614.214285714285,4306.6
49025,10.0,UT,Kane County,6.0,7326.0,11.6,7.9,16.0,3.8,73.9,5.0,30.0,39.7,25.3,0.03822003822003822,1221.0,2442.0,2442.0
48337,9.0,TX,Montague County,6.0,19436.0,12.4,13.4,24.0,4.9,81.7,17.9,35.6,31.8,14.8,0.008026342868903066,1619.6666666666667,2776.5714285714284,3887.2
48163,17.0,TX,Frio County,6.0,19385.0,12.2,6.8,33.0,4.9,69.3,37.2,34.3,21.2,7.3,0.006448284756254836,3230.8333333333335,4846.25,9692.5
48295,14.0,TX,Lipscomb County,9.0,3509.0,13.6,4.5,16.0,4.4,95.8,19.9,33.6,28.8,17.7,-0.013679110857794243,3509.0,3509.0,3509.0
48413,16.0,TX,Schleicher County,8.0,3064.0,9.3,5.8,26.0,5.2,83.5,23.7,24.6,32.6,19.1,-0.04210182767624021,3064.0,3064.0,3064.0
48369,16.0,TX,Parmer County,7.0,9818.0,17.3,5.8,22.0,2.5,85.4,31.4,31.0,21.6,16.0,0.001833367284579344,1636.3333333333333,3272.6666666666665,3272.6666666666665
